name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
GateHouse Media,gatehouse-media-inc,2006,,,,,"4,131",gatehousemedia.com,$248.4M,$504M,"Pittsford, New York",Private,,Y,,,The New York Times,SCRIPPS,McCLATCHY,Salesforce,LEE ENTERPRISES,GANNETT,Oracle,SAP,,,
MECCOM,,1981,,,,,191,meccomindustrial.com,,$44.2M,"Clinton Township, Michigan",Private,,Y,,,Royal Rubber,WARCO,Artemis Rubber Technology,Wttool,Toolmax Industrial Supply,Gcomx,Hall Industrial Publicity,,,,No information on Crunchbase
PennWell,pennwell-corporation,1910,,,2018-04-03,clarion-events,550,pennwell.com,,$170M,"Tulsa, Oklahoma",Private,,Clarion Events Limited,,,CRAIN,BNP media,1105 MEDIA,Argus,Hart Energy,Penton,Greentech Media,Pv Magazine,,,
IMS Cloud,,2008,2008-12,,,,10,imscloud.com,,,"Redwood City, California",Private,,Y,,,ACCESS INTELLIGENCE,Fletcher/CSI,Geoblink,CRAIN,Aurora WDC,Proactive,Maia Strategy,Cipher,,,No information on Crunchbase
1105 MEDIA,1105-media-inc,2006,,,,,163,1105media.com,,$50M,"Chatsworth, California",Private,,Y,,,TrustRadius,Lattice,MarketOne,Software Advice,G2 Crowd,Capterra,IT Central Station,Trustpilot,,,
QUESTEX,questex,2005,,,2014-09-17,shamrock-capital-advisors,225,questex.com,,$27.5M,"Auburndale, Massachusetts",Private,,"Shamrock Capital Advisors, LLC",,,Haymarket,Alpha Grid,Phocus Wright,WATT Global Media,Cox Media Group,Journal Multimedia,NEWS CYCLE,Tilling Productions,,,
CAREERBUILDER,careerbuilder-com,1995,,,2017-06-19,apollo-global-management-llc,"2,488",careerbuilder.com,,$349.8M,"Chicago, Illinois",Private,,Apollo Global Management LLC,,,ZipRecruiter,indeed,Jobs2Careers,Dice,Glassdoor,MONSTER,LinkedIn,HIRED,,,
Glassdoor,glassdoor,2007,2007-06,,2018-05-08,recruit-holdings-3,135,glassdoor.com,$201.6M,$100M,"Mill Valley, California",Private,,"Recruit Holdings Co., Ltd.",,,Microsoft,SAP,SAMSUNG,IBM,Apple,Oracle,HP,SONY,,,
ZipRecruiter,ziprecruiter,2010,2010-03-01,,,,479,ziprecruiter.com,$113M,$50M,"Santa Monica, California",Private,,Y,,,MONSTER,Glassdoor,JobScore,Dice,indeed,LinkedIn,CAREERBUILDER,Buzz Vertical,,,
indeed,indeed,2004,2004-11-01,,2012-10-01,recruit,"2,176",indeed.com,$5M,$747.5M,"Austin, Texas",Private,,Recruit Co. Ltd,,,ZipRecruiter,Dice,CAREERBUILDER,Glassdoor,Jobs2Careers,Naukri,Randstad,LinkedIn,,,
MONSTER,monster,1994,,,2016-08-08,randstad,"5,000",monster.com,$67.2M,$666.9M,"Weston, Massachusetts",Private,,RandstadUSA,,,ZipRecruiter,indeed,Dice,Glassdoor,CAREERBUILDER,Jobs2Careers,Naukri,JobScore,,,
HIRED,hired,2012,2012-05-01,,,,216,hired.com,$132.7M,$10M,"San Francisco, California",Private,,Y,,,ZipRecruiter,Glassdoor,Simply Hired,Jobr,Jobs2Careers,Betts Recruiting,RecruitLoop,PiQube,,,
Dice,dice-com,1990,,,,,320,dice.com,,$200M,"New York, New York",Private,,"Dice Holdings, Inc.",,,Kforce,Modis,Randstad,Addeco,Recruit,Insight Global,Staffmark,DISYS,,,
Simply Hired,simply-hired,2004,2004-05-01,,2016-07-01,recruit,150,simplyhired.com,$33.1M,$30M,"Mountain View, California",Private,,"Recruit Holdings Co.,Ltd.",,,Propellum,ZipRecruiter,MONSTER,Glassdoor,JobScore,Dice,LinkedIn,indeed,,,
Facebook,facebook,2004,2004-02-04,,,,"25,105",facebook.com,$2.3B,$48.5B,"Menlo Park, California",Public,2012-05-18,Y,NASDAQ,FB,Google,Microsoft,Apple,Twitter,Pinterest,YouTube,LinkedIn,Snap Inc.,,,
