name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
John Eagle Honda Of Houston,johneaglehonda,,,,,,63,johneaglehonda.com,$ -,$4.5M,"Houston, Texas",Private,,Y,,,Vandergriff Honda,Benson Honda,Burleson Nissan,Honda of Paris,El Paso Honda,Goodson Acura,Cleobayhonda,Autonation Toyota Scion North Arlington,,,
Honda of Paris,hondaofparis,,,,,,76,hondaofparis.net,$ -,$19.3M,"Paris, Texas",Private,,Y,,,Cleobayhonda,Twin City Honda,Honda of Clearlake,Vandergriff Honda,Benson Honda,Burleson Nissan,El Paso Honda,John Eagle Honda Of Houston,,,
Yuan Insurance & Financial Services,yuaninsurance,2000,2000,,,,77,yuaninsurance.com,$ -,$28M,"Plano, Texas",Private,,Y,,,Graceful Soles Dance Studio,General Handeling Systems,General Handling Systems,Boardwalk Ferrari,Classy Doggie Cuts,,,,,,
Graceful Soles Dance Studio,gracefulsolesdance,,,,,,,gracefulsolesdance.com,$ -,,,Private,,Y,,,Yuan Insurance & Financial Services,General Handeling Systems,General Handling Systems,Boardwalk Ferrari,Classy Doggie Cuts,,,,,,
General Handeling Systems,generalhandlingsystems,,,,,,,generalhandlingsystems.com,$ -,,,Private,,Y,,,Yuan Insurance & Financial Services,Graceful Soles Dance Studio,Boardwalk Ferrari,Classy Doggie Cuts,,,,,,,
Boardwalk Ferrari,boardwalkferrari,2004,2004,,,,58,boardwalkferrari.com,$ -,$6.9M,"Plano, Texas",Private,,Y,,,Yuan Insurance & Financial Services,Graceful Soles Dance Studio,General Handeling Systems,Classy Doggie Cuts,,,,,,,
Classy Doggie Cuts,classydoggiecuts,,,,,,74,,$ -,$10.5M,,,,,,,,,,,,,,,,,
PLANO FLORIST AND GIFTS,,,,,,,,,$ -,,,,,,,,,,,,,,,,,,
LotPro,lotpro,2002,2002/5/30,,,,79,lotpro.com,$ -,$22.4M,"Troy,Michigan",Private,,Y,,,CarGurus,Autolist,Carro,TrueCar,CarSoup,,,,,,
Carlypso,carlypso,2003,2003,,,,113,carlypso.com,$1.2M,$9.5M,"San Carlos,California",Private,,Y,,,Tred,CarGurus,Instamotor,Carfax,Carkibo,,,,,,
