"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"discovery-inc","a-e-television-networks",1,1,"726caeff-2eff-594c-4eb6-dec076a6e9b4","1984-02-01",NA,NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"discovery-inc","21st-century-fox",2,1,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"discovery-inc","the-walt-disney-company",5,1,"756936c0-c335-f0ae-0a3d-fe26bdff5695","1923-10-16",NA,NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"discovery-inc","disney-abc-television-group",6,1,"67bfd456-697d-7ffc-933c-775d3727dc29","1985-01-01",NA,NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"discovery-inc","viacom",1,1,"4522b60d-0b04-827e-2b6c-6eaf236cf636","1971-01-01",NA,NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"discovery-inc","nbcuniversal",4,1,"a4aa27bd-c688-65b1-a02a-4f02d021d958","2004-05-01","2011-01-29",NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"discovery-inc","turner-broadcasting",3,1,"74f2e7d5-412e-2305-ded9-946728a6502a","1970-01-01","1996-09-23",NA,"bdb1022b-10ae-4f8e-b6c9-a79b026d6c4e","1985-06-17",NA,NA
"dish-network","suddenlink-communications",2,1,"1374d3d9-a4c4-fbb4-9f73-ce75c5dce55d","2003-01-01","2015-05-20",NA,"b86db88a-10c4-0bdd-b470-614de0e2632d","1980-01-01",NA,NA
"dish-network","orlando-sentinel",4,1,"b2d484c3-12d6-0fe3-dfa4-a1f7f8588ee9","1876-01-01",NA,NA,"b86db88a-10c4-0bdd-b470-614de0e2632d","1980-01-01",NA,NA
"dish-network","bright-house-networks",1,1,"fd5d047e-2a57-b296-539b-f5facc6ed48f","1981-01-01","2015-03-31",NA,"b86db88a-10c4-0bdd-b470-614de0e2632d","1980-01-01",NA,NA
"disney-abc-television-group","21st-century-fox",5,1,"ddfe6b91-4541-7f5c-7d6a-724f75c98088","2013-06-28","2017-12-14",NA,"67bfd456-697d-7ffc-933c-775d3727dc29","1985-01-01",NA,NA
